Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
Baseline,0.818,0.8041635535871449,0.8342528618586176,0.8130757538375624,0.8130757538375624,0.818,0.9722762588457796,0.8964878983641824,0.3317720293998718,1.0,0.0,0.0,0.0,0.0,0.0
Evasion: Gradient (FGSM-like),0.002,0.0012052341597796144,0.0025286314835691634,0.001508447499636927,0.001508447499636927,0.002,0.025493141774114103,15.798150612492043,0.8283268213272095,0.0024449877750610804,0.9975550122249389,-0.49655479192733765,0.5454238095287179,0.08,0.816
Defense: Feature Smoothing + Retrain,0.927,0.912005503513616,0.9367485134292888,0.9228967663686886,0.9228967663686886,0.927,0.9924884709175161,0.27066611909095045,0.8226302266120911,1.1332518337408315,-0.1332518337408314,-0.49085819721221924,0.0,0.7,-0.1090000000000001
Defense: Pruning + Retrain,0.925,0.9174371000235898,0.9322103977739548,0.9227268476621179,0.9227268476621179,0.925,0.9938759671734612,0.25700859437136864,0.8493579626083374,1.1308068459657703,-0.1308068459657703,-0.5175859332084656,0.000496641059151832,0.5,-0.1070000000000001
Defense: Ontology + Retrain,0.93,0.9176108256784852,0.9400071422856008,0.9277291687220038,0.9277291687220038,0.93,0.9936388475189879,0.31380866078547787,0.7482990026473999,1.1369193154034232,-0.13691931540342311,-0.4165269732475281,0.0,0.3,-0.1120000000000001
Defense: Pruning+Ontology + Retrain,0.906,0.893849892890606,0.9269587027660543,0.9065418144522501,0.9065418144522501,0.906,0.992083447154423,0.333582962909722,0.7688478827476501,1.1075794621026895,-0.1075794621026896,-0.4370758533477783,0.0003799126828108193,0.6,-0.08800000000000008
