Graph,Density,Modularity,Conductance
Clean,0.013745376446724734,-0.007639190297067895,0.8655721877106296
Attacked (Edge Flip),0.013745376446724734,-0.005884994695216042,0.8636766647840796
Defended (Ontology),0.013745376446724734,-0.007639190297067895,0.8655721877106296
