Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
Defense: Feature Smoothing (alpha=0.85),0.15517241379310345,0.1476190476190476,0.1461038961038961,0.14209080393290918,0.14209080393290918,0.15517241379310345,0.5104484009567309,4.944979052616203,0.5385789275169373,1.0,0.0,0.19484937191009521,0.0,0.7,
Defense: Pruning (top-k=5),0.13793103448275862,0.13164296021438876,0.1331168831168831,0.12760753424176688,0.12760753424176688,0.13793103448275862,0.5176482847408179,5.122778948441977,0.5534431338310242,0.8888888888888888,0.11111111111111115,0.1799851655960083,0.004351961950059453,0.5,
Defense: Pruning (top-k=10),0.13793103448275862,0.12976190476190474,0.1331168831168831,0.1270532099479468,0.1270532099479468,0.13793103448275862,0.5152638603200626,4.985330674722875,0.5550998449325562,0.8888888888888888,0.11111111111111115,0.17832845449447632,0.00361474435196195,0.5,
Defense: Pruning (top-k=15),0.13793103448275862,0.12852504638218923,0.1331168831168831,0.1275065491783758,0.1275065491783758,0.13793103448275862,0.5173119540702841,4.977955137005559,0.5532734990119934,0.8888888888888888,0.11111111111111115,0.18015480041503906,0.0034958382877526752,0.5,
Defense: Pruning (top-k=20),0.13793103448275862,0.12852504638218923,0.1331168831168831,0.1275065491783758,0.1275065491783758,0.13793103448275862,0.5161776324170945,4.979364874851882,0.5542778968811035,0.8888888888888888,0.11111111111111115,0.17915040254592896,0.0034482758620689655,0.5,
"Defense: Ontology (feature-only, lambda=0.05)",0.13793103448275862,0.08571428571428572,0.14512987012987014,0.09448051948051947,0.09448051948051947,0.13793103448275862,0.5739661066552877,3.3583268475338133,0.3033024072647095,0.8888888888888888,0.11111111111111115,0.430125892162323,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.1)",0.13793103448275862,0.09155844155844158,0.14512987012987014,0.09499072356215213,0.09499072356215213,0.13793103448275862,0.581575171951025,3.3325929323097268,0.30469971895217896,0.8888888888888888,0.11111111111111115,0.4287285804748535,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.2)",0.13793103448275862,0.09155844155844158,0.14512987012987014,0.09499072356215213,0.09499072356215213,0.13793103448275862,0.5947286916215058,3.282968142948312,0.30755800008773804,0.8888888888888888,0.11111111111111115,0.42587029933929443,0.0,0.3,
"Defense: Pruning+Ontology (k=10, lambda=0.1)",0.13793103448275862,0.09155844155844158,0.14512987012987014,0.09499072356215213,0.09499072356215213,0.13793103448275862,0.5811600994348887,3.344917987231729,0.306416779756546,0.8888888888888888,0.11111111111111115,0.42701151967048645,0.0036860879904875147,0.6,
"Defense: Pruning+Ontology (k=15, lambda=0.1)",0.13793103448275862,0.09155844155844158,0.14512987012987014,0.09499072356215213,0.09499072356215213,0.13793103448275862,0.5812180290938821,3.334872921433616,0.3048824667930603,0.8888888888888888,0.11111111111111115,0.42854583263397217,0.0034720570749108203,0.6,
"Defense: Pruning+Ontology (k=10, lambda=0.2)",0.13793103448275862,0.09155844155844158,0.14512987012987014,0.09499072356215213,0.09499072356215213,0.13793103448275862,0.597150852793667,3.292186126415768,0.30916067957878113,0.8888888888888888,0.11111111111111115,0.42426761984825134,0.0036860879904875147,0.6,
"Defense: Pruning+Ontology (k=15, lambda=0.2)",0.13793103448275862,0.09155844155844158,0.14512987012987014,0.09499072356215213,0.09499072356215213,0.13793103448275862,0.5947286916215058,3.2850817389505336,0.3077157437801361,0.8888888888888888,0.11111111111111115,0.42571255564689636,0.0034720570749108203,0.6,
Defense: Ontology + Retrain,0.1724137931034483,0.024630541871921183,0.14285714285714285,0.04201680672268908,0.04201680672268908,0.1724137931034483,0.5,1.9576335846858195,0.016773641109466553,1.1111111111111112,-0.11111111111111115,0.7166546583175659,0.0,0.3,
Defense: Pruning + Retrain,0.13793103448275862,0.15493197278911564,0.1331168831168831,0.13301987461651327,0.13301987461651327,0.13793103448275862,0.5298745779511537,6.920368330839315,0.7895513772964478,0.8888888888888888,0.11111111111111115,-0.05612307786941528,0.004351961950059453,0.5,
Defense: Pruning+Ontology + Retrain,0.1724137931034483,0.024630541871921183,0.14285714285714285,0.04201680672268908,0.04201680672268908,0.1724137931034483,0.5,1.96025135654727,0.010402844287455082,1.1111111111111112,-0.11111111111111115,0.7230254411697388,0.0036860879904875147,0.6,
