Model,Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
GCN,Baseline,0.821,0.8044965287013766,0.8164374736886432,0.8069762378934343,0.8069762378934343,0.821,0.969767490029393,0.921469030288048,0.30709144473075867,1.0,0.0,0.0,0.0,0.0,0.0
GCN,Poisoning: Random Structure,0.53,0.5204221761911489,0.5501970336468928,0.5270550473793333,0.5270550473793333,0.53,0.826387950537556,1.411200658416259,0.40761256217956543,0.6455542021924483,0.3544457978075517,-0.10052111744880676,0.00021818388101123865,800.0,0.2909999999999999
GCN,Poisoning: Nettack,0.811,0.7999240444238521,0.8116285309546483,0.8001952644411457,0.8001952644411457,0.811,0.9700710689576103,0.9238180934358389,0.3111961781978607,0.9878197320341049,0.012180267965895126,-0.004104733467102051,1.309103286067432e-05,48.0,0.009999999999999898
GCN,Poisoning: Meta Attack,0.798,0.7787014109830821,0.8099754208096784,0.788762224672855,0.788762224672855,0.798,0.9672685128982345,0.9188605940323323,0.31844478845596313,0.971985383678441,0.028014616321558966,-0.011353343725204468,0.0,800.0,0.02299999999999991
GCN,Evasion: Edge Flip,0.806,0.7919674079596929,0.7980785389042158,0.7917437580576241,0.7917437580576241,0.806,0.9651936447599583,0.9735423632869497,0.2813540995121002,0.9817295980511572,0.018270401948842756,0.025737345218658447,9.981912556264168e-05,120.0,0.014999999999999902
GCN,Evasion: Feature,0.754,0.734327786068987,0.745232698342248,0.7352500798695265,0.7352500798695265,0.754,0.939059929879083,1.0157646746682003,0.30619192123413086,0.9183922046285019,0.08160779537149812,0.0008995234966278076,0.0014935973224510664,18.0,0.06699999999999995
GCN,Evasion: Gradient (FGSM-like),0.003,0.0019404032731083953,0.0034874042544224713,0.002306813017311427,0.002306813017311427,0.003,0.046365124715092076,33.444808209659705,0.9273691177368164,0.0036540803897685548,0.9963459196102314,-0.6202776432037354,0.5675948135374136,0.1,0.818
GAT,Baseline,0.805,0.7805845535936417,0.8050990630605984,0.7915324514197838,0.7915324514197838,0.805,0.9667047423240094,0.7616916771529941,0.46038392186164856,1.0,0.0,0.0,0.0,0.0,0.0
GAT,Poisoning: Random Structure,0.558,0.5555005572728592,0.5939573796733225,0.5665582093521018,0.5665582093521018,0.558,0.8342525456351987,1.5479122911278809,0.5399410128593445,0.6931677018633541,0.3068322981366459,-0.07955709099769592,0.00021818388101123865,800.0,0.247
GAT,Poisoning: Nettack,0.781,0.7692718998224964,0.7938607817173525,0.7755978108842123,0.7755978108842123,0.7810000000000001,0.9646983155770077,0.8134607743264641,0.42441117763519287,0.9701863354037267,0.029813664596273316,0.03597274422645569,1.309103286067432e-05,32.0,0.02400000000000002
GAT,Poisoning: Meta Attack,0.798,0.7844780318794627,0.8127448508922411,0.7945205126721889,0.7945205126721889,0.798,0.9624402431264328,0.8063526887550252,0.438103049993515,0.9913043478260869,0.00869565217391305,0.022280871868133545,0.0,800.0,0.007000000000000006
GAT,Evasion: Edge Flip,0.784,0.7620260832531499,0.782645878073939,0.7696902418567584,0.7696902418567584,0.7840000000000001,0.9584654620721081,0.8408056286898209,0.4196247458457947,0.9739130434782608,0.026086956521739153,0.04075917601585388,9.981912556264168e-05,120.0,0.02100000000000002
GAT,Evasion: Feature,0.58,0.6037941717374534,0.5852867878801025,0.5638133281163856,0.5638133281163856,0.58,0.787117507709893,2.7051719942973484,0.5178927183151245,0.7204968944099378,0.2795031055900622,-0.05750879645347595,0.0014935973224510664,18.0,0.2250000000000001
GAT,Evasion: Gradient (FGSM-like),0.043,0.011712307731854851,0.06628175276305669,0.019257526255578344,0.019257526255578344,0.043,0.08650965033809756,31.746510364090405,0.9063822031021118,0.05341614906832304,0.946583850931677,-0.44599828124046326,0.5675948135374136,0.1,0.762
