Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
Baseline,0.802,0.7832106243615694,0.8067225403122421,0.792272229302932,0.792272229302932,0.802,0.9605157192650059,0.9415291665725092,0.3090282380580902,1.0,0.0,0.0,0.0,0.0,0.0
Evasion: Gradient (FGSM-like),0.004,0.00303951367781155,0.0017913121361397223,0.0022541561003099468,0.0022541561003099468,0.004,0.05334211654180503,15.734902331780692,0.8957828879356384,0.004987531172069848,0.9950124688279302,-0.5867546796798706,0.5454238095287179,0.08,0.798
Defense: Feature Smoothing + Retrain,0.887,0.8828885558114357,0.9132300392445245,0.8953939174440299,0.8953939174440299,0.887,0.9905611227300871,0.33566067209255357,0.8151668906211853,1.1059850374064837,-0.10598503740648374,-0.5061386823654175,0.0,0.7,-0.08499999999999996
Defense: Pruning (top-k=5),0.005,0.0037202380952380955,0.0022391401701746527,0.002795638803466592,0.002795638803466592,0.005,0.04842368358667764,15.75679122587275,0.8940431475639343,0.006234413965087282,0.9937655860349127,-0.5850149393081665,0.000496641059151832,0.5,0.797
Defense: Ontology + Retrain,0.937,0.9215232791754929,0.9481404973166754,0.9333371913181365,0.9333371913181365,0.937,0.9932635353991189,0.29841841862704527,0.7447673678398132,1.1683291770573567,-0.16832917705735662,-0.435739129781723,0.0,0.3,-0.135
Defense: Pruning+Ontology + Retrain,0.898,0.8886587065950844,0.9215010686416161,0.9026127157062934,0.9026127157062934,0.898,0.9914594793290513,0.32811981789726347,0.8067092299461365,1.1197007481296757,-0.11970074812967577,-0.49768099188804626,0.0003799126828108193,0.6,-0.09599999999999997
